vehicle_id,avg_speed_kmh,max_speed_kmh,last_speed_kmh,max_probability,latest_probability,frames_tracked,first_frame,last_frame,is_accident_vehicle,accident_frame,last_bbox
10,42.552,360.253,58.673,1.0,0.335,50,410,529,False,,"(144, 140, 205, 192)"
11,0.473,99.792,4.5,1.0,0.335,38,439,529,False,,"(501, 108, 561, 135)"
